file: votematrix-2015.csv covering commons parliament 2015
file created: Mon Apr 17 08:48:58 2017by http://www.publicwhip.org.uk/
654 mps
462 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
40928	Diane	Abbott	Lab	http://publicwhip.com/mp.php?mpid=40928
41065	Debbie	Abrahams	Lab	http://publicwhip.com/mp.php?mpid=41065
41268	Nigel	Adams	Con	http://publicwhip.com/mp.php?mpid=41268
41184	Adam	Afriyie	Con	http://publicwhip.com/mp.php?mpid=41184
40745	Tasmina	Ahmed-Sheikh	SNP	http://publicwhip.com/mp.php?mpid=40745
41312	Peter	Aldous	Con	http://publicwhip.com/mp.php?mpid=41312
41083	Heidi	Alexander	Lab	http://publicwhip.com/mp.php?mpid=41083
41058	Rushanara	Ali	Lab	http://publicwhip.com/mp.php?mpid=41058
40931	Lucy	Allan	Con	http://publicwhip.com/mp.php?mpid=40931
41165	Graham	Allen	Lab	http://publicwhip.com/mp.php?mpid=41165
40984	Heidi	Allen	Con	http://publicwhip.com/mp.php?mpid=40984
41364	Rosena	Allin-Khan	Lab	http://publicwhip.com/mp.php?mpid=41364
40799	David	Amess	Con	http://publicwhip.com/mp.php?mpid=40799
40933	David	Anderson	Lab	http://publicwhip.com/mp.php?mpid=40933
41265	Stuart	Andrew	Con	http://publicwhip.com/mp.php?mpid=41265
40925	Caroline	Ansell	Con	http://publicwhip.com/mp.php?mpid=40925
41150	Edward	Argar	Con	http://publicwhip.com/mp.php?mpid=41150
40993	Richard	Arkless	SNP	http://publicwhip.com/mp.php?mpid=40993
41112	Jon	Ashworth	Lab	http://publicwhip.com/mp.php?mpid=41112
41287	Victoria	Atkins	Con	http://publicwhip.com/mp.php?mpid=41287
40992	Ian	Austin	Lab	http://publicwhip.com/mp.php?mpid=40992
40919	Richard	Bacon	Con	http://publicwhip.com/mp.php?mpid=40919
40853	Adrian	Bailey	Lab	http://publicwhip.com/mp.php?mpid=40853
40988	Steven	Baker	Con	http://publicwhip.com/mp.php?mpid=40988
40922	Harriett	Baldwin	Con	http://publicwhip.com/mp.php?mpid=40922
41303	Stephen	Barclay	Con	http://publicwhip.com/mp.php?mpid=41303
41233	Hannah	Bardell	SNP	http://publicwhip.com/mp.php?mpid=41233
40809	John	Baron	Con	http://publicwhip.com/mp.php?mpid=40809
40909	Kevin	Barron	Lab	http://publicwhip.com/mp.php?mpid=40909
41156	Gavin	Barwell	Con	http://publicwhip.com/mp.php?mpid=41156
40760	Guto	Bebb	Con	http://publicwhip.com/mp.php?mpid=40760
41209	Margaret	Beckett	Lab	http://publicwhip.com/mp.php?mpid=41209
41311	Henry	Bellingham	Con	http://publicwhip.com/mp.php?mpid=41311
41145	Hilary	Benn	Lab	http://publicwhip.com/mp.php?mpid=41145
41064	Richard	Benyon	Con	http://publicwhip.com/mp.php?mpid=41064
41247	Paul	Beresford	Con	http://publicwhip.com/mp.php?mpid=41247
41231	Luciana	Berger	Lab	http://publicwhip.com/mp.php?mpid=41231
40918	Jake	Berry	Con	http://publicwhip.com/mp.php?mpid=40918
40837	James	Berry	Con	http://publicwhip.com/mp.php?mpid=40837
41035	Clive	Betts	Lab	http://publicwhip.com/mp.php?mpid=41035
41006	Andrew	Bingham	Con	http://publicwhip.com/mp.php?mpid=41006
40735	Mhairi	Black	SNP	http://publicwhip.com/mp.php?mpid=40735
41026	Ian	Blackford	SNP	http://publicwhip.com/mp.php?mpid=41026
41080	Bob	Blackman	Con	http://publicwhip.com/mp.php?mpid=41080
40842	Kirsty	Blackman	SNP	http://publicwhip.com/mp.php?mpid=40842
40963	Roberta	Blackman-Woods	Lab	http://publicwhip.com/mp.php?mpid=40963
41180	Nicola	Blackwood	Con	http://publicwhip.com/mp.php?mpid=41180
41192	Tom	Blenkinsop	Lab	http://publicwhip.com/mp.php?mpid=41192
40997	Paul	Blomfield	Lab	http://publicwhip.com/mp.php?mpid=40997
41261	Crispin	Blunt	Con	http://publicwhip.com/mp.php?mpid=41261
41177	Nicholas	Boles	Con	http://publicwhip.com/mp.php?mpid=41177
41291	Peter	Bone	Con	http://publicwhip.com/mp.php?mpid=41291
40836	Victoria	Borwick	Con	http://publicwhip.com/mp.php?mpid=40836
40846	Phil	Boswell	SNP	http://publicwhip.com/mp.php?mpid=40846
41214	Peter	Bottomley	Con	http://publicwhip.com/mp.php?mpid=41214
41365	Tracy	Brabin	Lab	http://publicwhip.com/mp.php?mpid=41365
41147	Karen	Bradley	Con	http://publicwhip.com/mp.php?mpid=41147
